,Temperature,Age,BMI,Humidity,AQI,Heart_Rate,Fever_Severity_encoded,Gender_encoded,Headache_encoded,Body_Ache_encoded,Fatigue_encoded,Chronic_Conditions_encoded,Allergies_encoded,Smoking_History_encoded,Alcohol_Consumption_encoded,Physical_Activity_encoded,Diet_Type_encoded,Blood_Pressure_encoded,Previous_Medication_encoded,Recommended_Medication_encoded
Temperature,1.0,-0.037511057181513145,-0.02628986560745208,-0.0021067845786882735,0.022333998186360365,-0.01193138931838085,-0.9070102049616762,-0.008274120241655221,0.011725015346118079,-0.01935563591879871,-0.009011005210451964,-0.025632293951588666,0.012837610229093993,0.006331774046948687,0.019745546480162045,0.0256730309188315,0.05563580322198325,0.03128527635996874,-0.002555319852483961,-0.22713304804450807
Age,-0.037511057181513145,1.0,-0.034395159932121215,0.003931779651274558,0.060638740658858485,0.0183041335999385,0.037700306421438824,0.013701897814848034,-0.0037708856458806765,0.025491602872658434,0.01885874888382262,-0.027725355023683135,0.0366395690911617,0.0018397382278225343,-0.010317295916149032,0.011224625571303234,-0.020947912552538778,-0.06039333158012897,-0.02846462376818096,0.05777233768680377
BMI,-0.02628986560745208,-0.034395159932121215,1.0,-0.020879469696014754,-0.030367964920547018,-0.0019133903107953689,0.01885798800769455,0.008860493837014247,0.017349559503476306,-0.03355542051791003,-0.0315212634142374,0.006578407429827138,0.012115624147794551,-0.011917992137180138,0.01870912628137077,-0.04632633614412182,-0.022210838302237135,0.006982714788140148,-0.00728484253195207,0.07891110374882115
Humidity,-0.0021067845786882735,0.003931779651274558,-0.020879469696014754,1.0,0.009169322822691197,0.04789779083205653,-0.009643493248263448,0.037336613070792536,-0.025205866718382368,0.01753285848044774,-0.0401715766486618,0.03609379716809634,0.004150567511798682,0.00909766234537996,0.005912577973241028,-0.02438034575018615,-0.04579310560247624,0.010146017582834982,-0.0307538735256192,-0.01937485470000986
AQI,0.022333998186360365,0.060638740658858485,-0.030367964920547018,0.009169322822691197,1.0,0.037336604696834495,-0.027297663449145953,-0.011230448920453691,-0.026886747509228336,-0.05448742515340138,-0.03335335620418733,-0.033005721441655415,0.07834767681745196,0.01253095143388973,-0.04141583060706459,-0.027334178058920213,-0.02783063593747129,-0.008079283644933911,-0.022011181539727278,-0.004858902715690461
Heart_Rate,-0.01193138931838085,0.0183041335999385,-0.0019133903107953689,0.04789779083205653,0.037336604696834495,1.0,0.0003496979303626705,0.006280788693690494,-0.02980044873343794,-0.029141760359851013,0.019362665574983486,-0.007176681860098081,-0.0469264150704725,0.008684693742347588,-0.04524129654422194,0.012082707318431146,-0.01476489302348379,0.02299181145331139,-0.03323603786624789,-0.005060071282340732
Fever_Severity_encoded,-0.9070102049616762,0.037700306421438824,0.01885798800769455,-0.009643493248263448,-0.027297663449145953,0.0003496979303626705,1.0,0.011182310759194196,0.0015595087155133376,0.026144704936547133,0.010175573271122845,0.04705192184755476,-0.01296440606494186,-0.004027312207372382,-0.023942330758468397,-0.017421725974501708,-0.057437719939305396,0.005112246493714473,-0.010015656484986882,0.25041950664061724
Gender_encoded,-0.008274120241655221,0.013701897814848034,0.008860493837014247,0.037336613070792536,-0.011230448920453691,0.006280788693690494,0.011182310759194196,1.0,0.010727917343875478,-0.033304579216807455,-0.044402471996938905,0.032794236212370424,-0.0010573282490425376,-0.01767082125608634,0.023135146775218596,0.0249276342489187,0.04773062595378524,-0.011446441714147732,0.03131482483695021,-0.010582937373737137
Headache_encoded,0.011725015346118079,-0.0037708856458806765,0.017349559503476306,-0.025205866718382368,-0.026886747509228336,-0.02980044873343794,0.0015595087155133376,0.010727917343875478,1.0,-0.008908017215493945,0.04650688339100428,-0.06702447767646985,-0.01269800748061683,0.0596126714390979,0.002623957413503376,0.07697323767472793,-0.009177060857553572,-0.013110028609695625,0.005395825271826167,-0.01746568013913153
Body_Ache_encoded,-0.01935563591879871,0.025491602872658434,-0.03355542051791003,0.01753285848044774,-0.05448742515340138,-0.029141760359851013,0.026144704936547133,-0.033304579216807455,-0.008908017215493945,1.0,0.02249300212198314,0.017056408297596273,-0.01269800748061683,-0.04044216481316444,0.04268437594027248,-0.04707803900803747,0.018530603654675484,0.0015587919603227553,-0.04271443804568536,0.0677327595639491
Fatigue_encoded,-0.009011005210451964,0.01885874888382262,-0.0315212634142374,-0.0401715766486618,-0.03335335620418733,0.019362665574983486,0.010175573271122845,-0.044402471996938905,0.04650688339100428,0.02249300212198314,1.0,-0.011495357877113897,0.02332156867614756,-0.033783635116742455,-0.013279755539720724,0.025622507009359488,-0.05686768691640287,0.003318716290978954,-0.03637241965980587,-0.04462960104468003
Chronic_Conditions_encoded,-0.025632293951588666,-0.027725355023683135,0.006578407429827138,0.03609379716809634,-0.033005721441655415,-0.007176681860098081,0.04705192184755476,0.032794236212370424,-0.06702447767646985,0.017056408297596273,-0.011495357877113897,1.0,-0.04666106323203159,0.04557980759111327,-0.06757810771801519,0.07174557035244686,0.02312056889453423,0.006371589904904099,0.02514188581768781,0.041679658580487215
Allergies_encoded,0.012837610229093993,0.0366395690911617,0.012115624147794551,0.004150567511798682,0.07834767681745196,-0.0469264150704725,-0.01296440606494186,-0.0010573282490425376,-0.01269800748061683,-0.01269800748061683,0.02332156867614756,-0.04666106323203159,1.0,0.010627332762932068,-0.020016553618863436,0.0030665380625282744,-0.037521871041624355,0.015474623687609915,0.07093612296621944,0.014431078647606288
Smoking_History_encoded,0.006331774046948687,0.0018397382278225343,-0.011917992137180138,0.00909766234537996,0.01253095143388973,0.008684693742347588,-0.004027312207372382,-0.01767082125608634,0.0596126714390979,-0.04044216481316444,-0.033783635116742455,0.04557980759111327,0.010627332762932068,1.0,0.027387672784587404,-0.028795950064311744,-0.05083830420321397,0.0013267116630793622,-0.01997861692986286,0.020575692806113658
Alcohol_Consumption_encoded,0.019745546480162045,-0.010317295916149032,0.01870912628137077,0.005912577973241028,-0.04141583060706459,-0.04524129654422194,-0.023942330758468397,0.023135146775218596,0.002623957413503376,0.04268437594027248,-0.013279755539720724,-0.06757810771801519,-0.020016553618863436,0.027387672784587404,1.0,0.04289122492947501,-0.010242187252037417,-0.06731167127227138,0.0022018724464524415,-0.04551866383998926
