Actual_Class,Predicted_Class,Prob_Class_0,Prob_Class_1,Prob_Class_2
0,0,0.98959535,0.0071953917,0.0032092915
1,1,0.01095163,0.521613,0.46743536
2,2,0.011232326,0.36627296,0.62249476
1,2,0.011391176,0.31225055,0.6763582
1,1,0.3325062,0.6548973,0.012596558
0,0,0.98959535,0.0071953917,0.0032092915
0,0,0.98959535,0.0071953917,0.0032092915
1,2,0.011232326,0.36627296,0.62249476
0,0,0.98959535,0.0071953917,0.0032092915
0,0,0.98959535,0.0071953917,0.0032092915
1,1,0.18017714,0.79742014,0.022402687
0,0,0.98959535,0.0071953917,0.0032092915
1,1,0.3325062,0.6548973,0.012596558
0,0,0.9884263,0.008368197,0.0032055
1,1,0.46052635,0.52202725,0.017446432
1,1,0.41569766,0.56855416,0.015748156
1,1,0.01095163,0.521613,0.46743536
2,2,0.008200256,0.16810991,0.8236898
0,0,0.9884263,0.008368197,0.0032055
2,2,0.011070264,0.3316259,0.6573038
0,1,0.44735858,0.5356939,0.016947588
1,1,0.01095163,0.521613,0.46743536
1,1,0.01095163,0.521613,0.46743536
0,0,0.9890427,0.007749873,0.003207499
2,1,0.01095163,0.521613,0.46743536
2,2,0.010838327,0.3885023,0.6006594
0,0,0.98959535,0.0071953917,0.0032092915
0,0,0.98959535,0.0071953917,0.0032092915
0,0,0.9903273,0.0064609973,0.0032116652
0,0,0.9884263,0.008368197,0.0032055
1,1,0.32709137,0.6605172,0.012391426
1,2,0.011232326,0.36627296,0.62249476
0,0,0.98959535,0.0071953917,0.0032092915
2,2,0.011070264,0.3316259,0.6573038
1,2,0.012543137,0.24270019,0.74475664
2,1,0.01095163,0.521613,0.46743536
1,1,0.3325062,0.6548973,0.012596558
2,2,0.011232326,0.36627296,0.62249476
1,2,0.01123063,0.3663686,0.62240076
1,1,0.01095163,0.521613,0.46743536
0,0,0.98959535,0.0071953917,0.0032092915
2,2,0.011232326,0.36627296,0.62249476
2,2,0.011232326,0.36627296,0.62249476
1,2,0.012266746,0.25938752,0.7283457
2,2,0.01123063,0.3663686,0.62240076
0,0,0.5440616,0.43532738,0.020611055
1,1,0.011644354,0.5546067,0.43374902
0,0,0.9900468,0.0067424593,0.0032107553
0,1,0.41569766,0.56855416,0.015748156
2,2,0.01123063,0.3663686,0.62240076
0,0,0.9897254,0.007064865,0.0032097131
1,2,0.011232326,0.36627296,0.62249476
1,0,0.50248075,0.47848344,0.01903582
1,1,0.32709137,0.6605172,0.012391426
1,1,0.41569766,0.56855416,0.015748156
0,0,0.98959535,0.0071953917,0.0032092915
2,2,0.011232326,0.36627296,0.62249476
1,1,0.01095163,0.521613,0.46743536
0,1,0.32709137,0.6605172,0.012391426
2,2,0.011232326,0.36627296,0.62249476
2,2,0.011391176,0.31225055,0.6763582
